Day,Max_fluo_obs_fill
262,0.8412784810126582
263,0.8380759493670886
264,0.834873417721519
265,0.8316708860759494
266,0.8284683544303797
267,0.8252658227848101
268,0.8220632911392405
269,0.8188607594936709
270,0.8156582278481013
271,0.8124556962025317
272,0.8092531645569621
273,0.8060506329113925
274,0.8028481012658228
275,0.7996455696202531
276,0.7964430379746835
277,0.7932405063291139
278,0.7900379746835443
279,0.7868354430379747
280,0.7836329113924051
281,0.7804303797468355
282,0.7772278481012658
283,0.7740253164556962
284,0.7708227848101266
285,0.767620253164557
286,0.7644177215189873
287,0.7612151898734177
288,0.7580126582278481
289,0.7548101265822785
290,0.7516075949367089
291,0.7484050632911392
292,0.7452025316455696
293,0.742
294,0.7327323943661972
295,0.7234647887323944
296,0.7141971830985916
297,0.7049295774647887
298,0.6956619718309859
