Date,Mean_Ice_Concentration_12km,DOY,Mean_Ice_Concentration_perc_12km,Mean_Ice_Concentration_perc_3km,Mean_Ice_Concentration_3km
2013-06-09,0.4637791932059448,156,46.37791932059448,42.5506555423122,0.425506555423122
2013-06-10,0.4243736730360934,157,42.43736730360934,52.6817640047675,0.5268176400476751
2013-06-11,0.415859872611465,158,41.5859872611465,50.8012183816713,0.508012183816713
2013-06-12,0.3737579617834394,159,37.37579617834395,51.185273473712,0.51185273473712
2013-06-13,0.2765605095541401,160,27.656050955414013,54.8801483247252,0.548801483247252
2013-06-14,0.2392144373673036,161,23.92144373673036,52.0990597271884,0.520990597271884
2013-06-15,0.2506369426751592,162,25.063694267515924,38.7895642961197,0.387895642961197
2013-06-16,0.2324416135881104,163,23.24416135881104,26.9368295589988,0.269368295589988
2013-06-17,0.2204670912951167,164,22.046709129511676,24.5530393325387,0.24553039332538698
2013-06-18,0.2144373673036093,165,21.443736730360936,29.9827837372533,0.299827837372533
2013-06-19,0.2004033970276008,166,20.04033970276009,31.3733280360217,0.313733280360217
2013-06-20,0.2136518046709129,167,21.365180467091296,27.7711561382598,0.277711561382598
2013-06-21,0.2364968152866242,168,23.64968152866242,25.6389882134816,0.256389882134816
2013-06-22,0.235796178343949,169,23.579617834394902,23.67898291617,0.2367898291617
2013-06-23,0.1967940552016985,170,19.67940552016985,24.274930472785,0.24274930472785003
2013-06-24,0.1732908704883227,171,17.32908704883227,23.4008740564163,0.234008740564163
2013-06-25,0.1154777070063694,172,11.547770700636942,27.148722023573,0.27148722023573
2013-06-26,0.0829511677282377,173,8.295116772823778,20.1430274135876,0.201430274135876
2013-06-27,0.049936305732484,174,4.993630573248407,13.2035491987816,0.132035491987816
2013-06-28,0.03552016985138,175,3.552016985138004,23.1227651966626,0.23122765196662598
2013-06-29,0.0286199575371549,176,2.8619957537154987,16.024367633426,0.16024367633425998
2013-06-30,0.0144798301486199,177,1.4479830148619957,5.64163686928883,0.056416368692888304
2013-07-01,0.0159872611464968,178,1.5987261146496816,4.86028340617136,0.0486028340617136
2013-07-02,0.0080679405520169,179,0.8067940552016986,3.5756853396901,0.035756853396901
2013-07-03,0.0105307855626326,180,1.0530785562632696,6.10515163554496,0.0610515163554496
2013-07-04,0.0098301486199575,181,0.9830148619957536,7.46920937624155,0.0746920937624155
2013-07-05,0.0033970276008492,182,0.3397027600849256,6.51569328565752,0.0651569328565752
2013-07-06,0.0103821656050955,183,1.038216560509554,3.73460468812077,0.037346046881207705
2013-07-07,0.0077070063694267,184,0.7707006369426752,2.70162892332141,0.0270162892332141
2013-07-08,0.0032484076433121,185,0.3248407643312102,3.56244206065421,0.0356244206065421
2013-07-09,0.0038004246284501,186,0.3800424628450106,4.86028340617136,0.0486028340617136
2013-07-10,0.008004246284501,187,0.8004246284501062,3.77433452522844,0.0377433452522844
2013-07-11,0.0047770700636942,188,0.4777070063694267,3.53595550258243,0.0353595550258243
2013-07-12,0.002484076433121,189,0.2484076433121019,3.80082108330022,0.0380082108330022
2013-07-13,0.0007430997876857,190,0.0743099787685774,2.68838564428552,0.026883856442855198
2013-07-14,0.0,191,0.0,2.4632499006754,0.024632499006754
2013-07-15,0.0064118895966029,192,0.6411889596602972,5.0589325917097,0.050589325917097
2013-07-16,0.0087261146496815,193,0.8726114649681529,5.17812210303271,0.0517812210303271
2013-07-17,0.0071549893842887,194,0.7154989384288747,4.14514633823334,0.0414514633823334
2013-07-18,0.0068365180467091,195,0.6836518046709129,2.27784399417295,0.0227784399417295
2013-07-19,0.00552016985138,196,0.5520169851380042,1.96000529731161,0.0196000529731161
2013-07-20,0.0,197,0.0,2.01297841345517,0.0201297841345517
2013-07-21,0.0,198,0.0,1.73486955370149,0.0173486955370149
2013-07-22,0.0067091295116772,199,0.6709129511677282,2.17189776188584,0.021718977618858402
2013-07-23,0.0066666666666666,200,0.6666666666666666,2.68838564428552,0.026883856442855198
2013-07-24,0.0015286624203821,201,0.1528662420382165,1.78784266984505,0.0178784266984505
2013-07-25,0.0,202,0.0,1.69513971659382,0.0169513971659382
2013-07-26,0.0,203,0.0,1.43027413587604,0.0143027413587604
