Day,Max_fluo_obs_mod
215.0,1.1183713292685236
216.0,1.090690583804438
217.0,1.0645671124405847
218.0,1.0404218992723202
219.0,1.0204211234120553
220.0,0.9991831769761796
221.0,0.979370998441673
222.0,0.9605098777291547
223.0,0.9422348672073436
224.0,0.9243448305823168
225.0,0.906656598353856
226.0,0.8892787478984175
227.0,0.8722861178689826
228.0,0.855778261704185
229.0,0.8398301382985851
230.0,0.8244745035056055
231.0,0.8097009182110668
232.0,0.7954664505305211
233.0,0.7817094258570433
234.0,0.7683613867087936
235.0,0.755355735339965
236.0,0.7426327043694528
237.0,0.7301416585095515
238.0,0.7178424747631748
239.0,0.7057066884015166
240.0,0.6937180173769896
241.0,0.6818721696672636
242.0,0.6701762944885109
243.0,0.6586474763399921
244.0,0.6473092529119192
245.0,0.6361864889926204
246.0,0.6252971236104184
247.0,0.616331394314604
248.0,0.605841241369661
249.0,0.5955394565366798
250.0,0.585420353218806
251.0,0.5754598851984162
252.0,0.5656358609706258
253.0,0.5559332555261823
254.0,0.546348731599237
255.0,0.5368983070991755
256.0,0.5276172814779135
257.0,0.5185531759616662
258.0,0.5097541704299279
259.0,0.5012615357867732
260.0,0.4931080253120336
261.0,0.48447422027915477
262.0,0.47717557563489543
263.0,0.47023000115493974
264.0,0.4636058706567039
265.0,0.45727894251003615
266.0,0.4512296194550735
267.0,0.44544402253829624
268.0,0.43990984747755224
269.0,0.4346122182953705
270.0,0.42953324157239786
271.0,0.4246528534459402
272.0,0.4199504164713475
273.0,0.4154062828108502
274.0,0.4110025765853249
275.0,0.4067230104142811
276.0,0.4025529289541879
277.0,0.39848024489526174
278.0,0.39449613221111984
279.0,0.3905953476872231
280.0,0.3867763092123853
281.0,0.38304075444927926
282.0,0.37939213262077714
283.0,0.37583283507322446
284.0,0.3723615598648966
285.0,0.3689712091424131
286.0,0.3656478220549213
287.0,0.36237157810250986
288.0,0.3591196358192296
289.0,0.35586949452478284
290.0,0.3526020025331219
291.0,0.3493038722552545
292.0,0.3459690546643411
293.0,0.3425978248949854
294.0,0.3391943166862772
295.0,0.3357642177834515
296.0,0.33231293762740766
297.0,0.32884383037873344
298.0,0.325356671893633
299.0,0.32184665532516443
300.0,0.3183035413629913
301.0,0.3147112175354553
302.0,0.311048378202637
303.0,0.3072908441520535
304.0,0.3034151073414318
305.0,0.29940206490912075
306.0,0.295239818236447
307.0,0.2909244719726907
308.0,0.2864588412479265
309.0,0.2818503793069045
310.0,0.27710933070483545
311.0,0.272246757368027
312.0,0.2672721818165076
313.0,0.26219210375772967
314.0,0.2570100324760527
315.0,0.25172762686034583
316.0,0.24634725441928568
317.0,0.24087482112705402
318.0,0.2353215058651632
319.0,0.2297037772000697
320.0,0.2240431068817922
321.0,0.21836498232915502
322.0,0.212697114612063
323.0,0.20706770888569676
324.0,0.20150396851606361
325.0,0.19603064686270735
326.0,0.19137821715044454
327.0,0.18624296544044006
328.0,0.18122650227526724
329.0,0.17634652593177427
330.0,0.17161156990323442
331.0,0.1670279426701822
332.0,0.16259912176641342
333.0,0.1593167199836688
334.0,0.15612092703003216
335.0,0.15296326740032015
336.0,0.14981921614226526
337.0,0.14667993796977702
338.0,0.14354417988359827
339.0,0.14041369207207988
340.0,0.1372911115725507
341.0,0.13417912556139916
342.0,0.1310802053858915
343.0,0.127996564770251
344.0,0.12493019241469841
345.0,0.12188289901535929
346.0,0.11885635740167307
347.0,0.11585213034521409
348.0,0.1128716864950842
349.0,0.10991640666892831
350.0,0.10698758292091103
351.0,0.10408641248558613
352.0,0.10121398827802684
353.0,0.09837128725910894
354.0,0.09555915768293359
355.0,0.09277830602370223
356.0,0.0900292842140373
357.0,0.08731247769848328
358.0,0.08462809470172057
359.0,0.0819761570218377
360.0,0.07935649258011072
361.0,0.07676872988725525
362.0,0.07421229452157622
363.0,0.0716864076567225
364.0,0.06919008662659056
