Day,Interpolated_Td
259,1.4343941091414993
260,1.4301327077493953
261,1.4258722017150762
262,1.4215453231941833
263,1.417074843054175
264,1.4124065387540397
265,1.4075164854242737
266,1.4023966571188746
267,1.397062816277727
268,1.3915781066423576
269,1.386035094558662
270,1.3805477809770381
271,1.3752377260651696
272,1.3702093126630082
273,1.3655317450032873
274,1.3612229836547067
275,1.357294113180002
276,1.3537534093083252
277,1.3505923428125588
278,1.3478007860677612
279,1.3453656100834954
280,1.3432894610606247
281,1.3415778568085115
282,1.3415542808655743
283,1.3404304632550206
284,1.340670735733529
285,1.3408759459440762
286,1.3403319268761245
287,1.3406772779580465
288,1.341093513551306
289,1.3411788271341507
290,1.3415366096566255
291,1.3421535032358414
292,1.3430056630724418
293,1.3441532273507244
294,1.3452557735812773
295,1.3464402133381914
